result,homeTeamName,date,status,awayTeamName,awayTeamId,competitionId,homeTeamId,id,odds,matchday
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Russia,2018-06-14T15:00:00Z,TIMED,Saudi Arabia,801,467,808,165069,,1
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Egypt,2018-06-15T12:00:00Z,TIMED,Uruguay,758,467,825,165084,,1
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Morocco,2018-06-15T15:00:00Z,TIMED,Iran,840,467,815,165083,,1
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Portugal,2018-06-15T18:00:00Z,TIMED,Spain,760,467,765,165076,,1
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",France,2018-06-16T10:00:00Z,TIMED,Australia,779,467,773,165072,,1
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Argentina,2018-06-16T13:00:00Z,TIMED,Iceland,1066,467,762,165073,,1
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Peru,2018-06-16T16:00:00Z,TIMED,Denmark,782,467,832,165071,,1
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Croatia,2018-06-16T19:00:00Z,TIMED,Nigeria,776,467,799,165074,,1
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Costa Rica,2018-06-17T12:00:00Z,TIMED,Serbia,780,467,793,165075,,1
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Germany,2018-06-17T15:00:00Z,TIMED,Mexico,769,467,759,165082,,1
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Brazil,2018-06-17T18:00:00Z,TIMED,Switzerland,788,467,764,165070,,1
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Sweden,2018-06-18T12:00:00Z,TIMED,Korea Republic,772,467,792,165081,,1
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Belgium,2018-06-18T15:00:00Z,TIMED,Panama,1836,467,805,165077,,1
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Tunisia,2018-06-18T18:00:00Z,TIMED,England,770,467,802,165078,,1
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Colombia,2018-06-19T12:00:00Z,TIMED,Japan,766,467,818,165080,,1
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Poland,2018-06-19T15:00:00Z,TIMED,Senegal,804,467,794,165079,,1
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Russia,2018-06-19T18:00:00Z,TIMED,Egypt,825,467,808,165100,,2
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Portugal,2018-06-20T12:00:00Z,TIMED,Morocco,815,467,765,165087,,2
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Uruguay,2018-06-20T15:00:00Z,TIMED,Saudi Arabia,801,467,758,165086,,2
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Iran,2018-06-20T18:00:00Z,TIMED,Spain,760,467,840,165085,,2
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Denmark,2018-06-21T12:00:00Z,TIMED,Australia,779,467,782,165099,,2
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",France,2018-06-21T15:00:00Z,TIMED,Peru,832,467,773,165096,,2
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Argentina,2018-06-21T18:00:00Z,TIMED,Croatia,799,467,762,165094,,2
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Brazil,2018-06-22T12:00:00Z,TIMED,Costa Rica,793,467,764,165092,,2
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Nigeria,2018-06-22T15:00:00Z,TIMED,Iceland,1066,467,776,165098,,2
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Serbia,2018-06-22T18:00:00Z,TIMED,Switzerland,788,467,780,165091,,2
