id, competitionId, title, start_at, end_at
1, 467, Matchday 1, 2018-06-14, 2018-06-14
2, 467, Matchday 2, 2018-06-15, 2018-06-15
3, 467, Matchday 3, 2018-06-16, 2018-06-16
4, 467, Matchday 4, 2018-06-17, 2018-06-17
5, 467, Matchday 5, 2018-06-18, 2018-06-18
6, 467, Matchday 6, 2018-06-19, 2018-06-19
7, 467, Matchday 7, 2018-06-20, 2018-06-20
8, 467, Matchday 8, 2018-06-21, 2018-06-21
9, 467, Matchday 9, 2018-06-22, 2018-06-22
10, 467, Matchday 10, 2018-06-23, 2018-06-23
11, 467, Matchday 11, 2018-06-24, 2018-06-24
12, 467, Matchday 12, 2018-06-25, 2018-06-25
13, 467, Matchday 13, 2018-06-26, 2018-06-26
14, 467, Matchday 14, 2018-06-27, 2018-06-27
15, 467, Matchday 15, 2018-06-28, 2018-06-28
16, 467, Round of 16, 2018-06-30, 2018-07-03
17, 467, Quarter-finals, 2018-07-06, 2018-07-07
18, 467, Semi-finals, 2018-07-10, 2018-07-11
19, 467, Match for third place, 2018-07-14, 2018-07-14
20, 467, Final, 2018-07-15, 2018-07-15
