id,caption,league
378,World Cup 1930 Uruguay,WC
377,World Cup 1934 Italy,WC
376,World Cup 1938 France,WC
379,World Cup 1950 Brazil,WC
382,World Cup 1954 Switzerland,WC
374,World Cup 1958 Sweden,WC
380,World Cup 1962 Chile,WC
407,World Cup 1966 England,WC
409,World Cup 1970 Mexico,WC
375,World Cup 1974 Germany,WC
381,World Cup 1978 Argentina,WC
373,World Cup 1982 Spain,WC
372,World Cup 1986 Mexico,WC
371,World Cup 1990 Italy,WC
370,World Cup 1994 USA,WC
369,World Cup 1998 France,WC
367,World Cup 2002 South Korea / Japan,WC
366,World Cup 2006 Germany,WC
365,World Cup 2010 South Africa,WC
406,World Cup 2014 Brasil,WC
467,World Cup 2018 Russia,WC
