status,id,awayTeamName,awayTeamId,competitionId,matchday,homeTeamId,homeTeamName,odds,result,date,goalsHomeTeam,goalsAwayTeam,AccomGoalsHomeTeam,AccomGoalsAwayTeam,AccomTotalGoals,gdX,gdY,rankX,rankY,extraTimeHomeGoals,extraTimeAwayGoals,penaltyShootoutHomeGoals,penaltyShootoutAwayGoals
FINISHED,165069,Saudi Arabia,801,467,1,808,Russia,,"{'halfTime': {'goalsHomeTeam': 2, 'goalsAwayTeam': 0}, 'goalsHomeTeam': 5, 'goalsAwayTeam': 0}",2018-06-14T15:00:00Z,5,0,5,0,5,0,0,2,3,NULL,NULL,NULL,NULL
FINISHED,165084,Uruguay,758,467,1,825,Egypt,,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 1}",2018-06-15T12:00:00Z,0,1,0,1,6,0,0,4,1,NULL,NULL,NULL,NULL
FINISHED,165083,Iran,840,467,1,815,Morocco,,"{'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 0}, 'goalsHomeTeam': 0, 'goalsAwayTeam': 1}",2018-06-15T15:00:00Z,0,1,0,1,7,1,0,4,3,NULL,NULL,NULL,NULL
FINISHED,165076,Spain,760,467,1,765,Portugal,,"{'goalsHomeTeam': 3, 'goalsAwayTeam': 3}",2018-06-15T18:00:00Z,3,3,3,3,13,1,0,2,1,NULL,NULL,NULL,NULL
FINISHED,165072,Australia,779,467,1,773,France,,"{'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 0}, 'goalsHomeTeam': 2, 'goalsAwayTeam': 1}",2018-06-16T10:00:00Z,2,1,2,1,16,2,0,1,4,NULL,NULL,NULL,NULL
FINISHED,165073,Iceland,1066,467,1,762,Argentina,,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 1}",2018-06-16T13:00:00Z,1,1,1,1,18,3,0,2,4,NULL,NULL,NULL,NULL
FINISHED,165071,Denmark,782,467,1,832,Peru,,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 1}",2018-06-16T16:00:00Z,0,1,0,1,19,2,0,3,2,NULL,NULL,NULL,NULL
FINISHED,165074,Nigeria,776,467,1,799,Croatia,,"{'halfTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 0}, 'goalsHomeTeam': 2, 'goalsAwayTeam': 0}",2018-06-16T19:00:00Z,2,0,2,0,21,3,0,1,3,NULL,NULL,NULL,NULL
FINISHED,165075,Serbia,780,467,1,793,Costa Rica,,"{'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 0}, 'goalsHomeTeam': 0, 'goalsAwayTeam': 1}",2018-06-17T12:00:00Z,0,1,0,1,22,0,1,4,3,NULL,NULL,NULL,NULL
FINISHED,165082,Mexico,769,467,1,759,Germany,,"{'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 1}, 'goalsHomeTeam': 0, 'goalsAwayTeam': 1}",2018-06-17T15:00:00Z,0,1,0,1,23,1,1,4,2,NULL,NULL,NULL,NULL
FINISHED,165070,Switzerland,788,467,1,764,Brazil,,"{'halfTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 0}, 'goalsHomeTeam': 1, 'goalsAwayTeam': 1}",2018-06-17T18:00:00Z,1,1,1,1,25,0,1,1,2,NULL,NULL,NULL,NULL
FINISHED,165081,Korea Republic,772,467,1,792,Sweden,,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 0}",2018-06-18T12:00:00Z,1,0,1,0,26,1,1,1,3,NULL,NULL,NULL,NULL
FINISHED,165077,Panama,1836,467,1,805,Belgium,,"{'goalsHomeTeam': 3, 'goalsAwayTeam': 0}",2018-06-18T15:00:00Z,3,0,3,0,29,3,1,1,4,NULL,NULL,NULL,NULL
FINISHED,165078,England,770,467,1,802,Tunisia,,"{'halfTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 1}, 'goalsHomeTeam': 1, 'goalsAwayTeam': 2}",2018-06-18T18:00:00Z,1,2,1,2,32,3,1,3,2,NULL,NULL,NULL,NULL
FINISHED,165080,Japan,766,467,1,818,Colombia,,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 2}",2018-06-19T12:00:00Z,1,2,1,2,35,2,1,1,2,NULL,NULL,NULL,NULL
FINISHED,165079,Senegal,804,467,1,794,Poland,,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 2}",2018-06-19T15:00:00Z,1,2,1,2,38,2,1,4,3,NULL,NULL,NULL,NULL
FINISHED,165100,Egypt,825,467,2,808,Russia,,"{'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 0}, 'goalsHomeTeam': 3, 'goalsAwayTeam': 1}",2018-06-19T18:00:00Z,3,1,8,1,47,0,0,2,4,NULL,NULL,NULL,NULL
