goalDifference,rank,group,teamId,goals,playedGames,crestURI,goalsAgainst,points,team,path,gdX,gdY
7,1,G,805,9,3,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,2,9,Belgium,flags/Belgium.svg,3,1
5,2,G,770,8,3,https://upload.wikimedia.org/wikipedia/commons/b/be/Flag_of_England.svg,3,6,England,flags/England.svg,3,1
-3,3,G,802,5,3,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Tunisia.svg,8,3,Tunisia,flags/Tunisia.svg,3,1
-9,4,G,1836,2,3,https://upload.wikimedia.org/wikipedia/commons/a/ab/Flag_of_Panama.svg,11,0,Panama,flags/Panama.svg,3,1
3,1,F,792,5,3,https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Sweden.svg,2,6,Sweden,flags/Sweden.svg,1,1
-1,2,F,769,3,3,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg,4,6,Mexico,flags/Mexico.svg,1,1
0,3,F,772,3,3,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg,3,3,Korea Republic,flags/Korea Republic.svg,1,1
-2,4,F,759,2,3,https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg,4,3,Germany,flags/Germany.svg,1,1
6,1,D,799,7,3,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg,1,9,Croatia,flags/Croatia.svg,3,0
-2,2,D,762,3,3,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,5,4,Argentina,flags/Argentina.svg,3,0
-1,3,D,776,3,3,https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Nigeria.svg,4,3,Nigeria,flags/Nigeria.svg,3,0
-3,4,D,1066,2,3,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg,5,1,Iceland,flags/Iceland.svg,3,0
5,1,A,758,5,3,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,0,9,Uruguay,flags/Uruguay.svg,0,0
4,2,A,808,8,3,https://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Russia.svg,4,6,Russia,flags/Russia.svg,0,0
-5,3,A,801,2,3,https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Saudi_Arabia.svg,7,3,Saudi Arabia,flags/Saudi Arabia.svg,0,0
-4,4,A,825,2,3,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg,6,0,Egypt,flags/Egypt.svg,0,0
4,1,E,764,5,3,https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Brazil.svg,1,7,Brazil,flags/Brazil.svg,0,1
1,2,E,788,5,3,https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,4,5,Switzerland,flags/Switzerland.svg,0,1
-2,3,E,780,2,3,https://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Serbia.svg,4,3,Serbia,flags/Serbia.svg,0,1
-3,4,E,793,2,3,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Costa_Rica_%28state%29.svg,5,1,Costa Rica,flags/Costa Rica.svg,0,1
3,1,H,818,5,3,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg,2,6,Colombia,flags/Colombia.svg,2,1
0,2,H,766,4,3,https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Japan.svg,4,4,Japan,flags/Japan.svg,2,1
0,3,H,804,4,3,https://upload.wikimedia.org/wikipedia/commons/f/fd/Flag_of_Senegal.svg,4,4,Senegal,flags/Senegal.svg,2,1
-3,4,H,794,2,3,https://upload.wikimedia.org/wikipedia/commons/1/12/Flag_of_Poland.svg,5,3,Poland,flags/Poland.svg,2,1
2,1,C,773,3,3,https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg,1,7,France,flags/France.svg,2,0
1,2,C,782,2,3,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,1,5,Denmark,flags/Denmark.svg,2,0
0,3,C,832,2,3,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Peru.svg,2,3,Peru,flags/Peru.svg,2,0
-3,4,C,779,2,3,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,5,1,Australia,flags/Australia.svg,2,0
1,1,B,760,6,3,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg,5,5,Spain,flags/Spain.svg,1,0
1,2,B,765,5,3,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg,4,5,Portugal,flags/Portugal.svg,1,0
0,3,B,840,2,3,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg,2,4,Iran,flags/Iran.svg,1,0
-2,4,B,815,2,3,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg,4,1,Morocco,flags/Morocco.svg,1,0
