lastUpdated,caption,numberOfGames,currentMatchday,year,numberOfMatchdays,league,id,numberOfTeams
2015-02-27T15:00:12Z,World Cup 1930 Uruguay,18,1,1930,30,WC,378,16
2015-02-27T14:56:13Z,World Cup 1934 Italy,17,1,1934,30,WC,377,16
2015-02-27T14:42:38Z,World Cup 1938 France,18,1,1938,62,WC,376,32
2015-02-27T14:51:24Z,World Cup 1950 Brazil,22,1,1950,62,WC,379,32
2015-02-27T16:19:50Z,World Cup 1954 Switzerland,26,1,1954,62,WC,382,32
2015-02-27T14:33:02Z,World Cup 1958 Sweden,35,1,1958,62,WC,374,32
2015-02-27T15:05:16Z,World Cup 1962 Chile,32,1,1962,62,WC,380,32
2015-10-02T12:57:48Z,World Cup 1966 England,32,1,1966,30,WC,407,16
2015-10-02T13:11:52Z,World Cup 1970 Mexico,32,1,1970,30,WC,409,16
2015-02-27T14:34:33Z,World Cup 1974 Germany,38,1,1974,62,WC,375,32
2015-02-27T15:17:51Z,World Cup 1978 Argentina,38,1,1978,62,WC,381,32
2015-02-27T14:11:56Z,World Cup 1982 Spain,52,1,1982,62,WC,373,32
2015-02-27T09:59:55Z,World Cup 1986 Mexico,52,1,1986,62,WC,372,32
2015-02-27T09:58:33Z,World Cup 1990 Italy,52,1,1990,62,WC,371,32
2015-02-27T09:54:22Z,World Cup 1994 USA,52,1,1994,62,WC,370,32
2015-02-27T16:08:21Z,World Cup 1998 France,64,1,1998,62,WC,369,32
2015-02-20T00:39:11Z,World Cup 2002 South Korea / Japan,64,1,2002,62,WC,367,32
2015-02-19T07:22:58Z,World Cup 2006 Germany,64,1,2006,62,WC,366,32
2015-02-19T07:21:31Z,World Cup 2010 South Africa,64,1,2010,62,WC,365,32
2017-11-29T12:51:58Z,World Cup 2014 Brasil,64,1,2014,8,WC,406,32
2018-06-17T20:00:29Z,World Cup 2018 Russia,64,1,2018,8,WC,467,32
