stadium,city,id,short_name,capacity,competitionId
"Samara Arena|Samara|Cosmos Arena"," Samara",1,samara,45000,467
"Nizhny Novgorod Stadium|Nizhny Novgorod"," Nizhny Novgorod",2,nizhnynovgorod,45000,467
"Volgograd Arena|Volgograd"," Volgograd",3,volgograd,45000,467
"Ekaterinburg Arena|Ekaterinburg|Central Stadium"," Ekaterinburg",4,ekaterinburg,35000,467
"Mordovia Arena|Mordovia"," Saransk",5,mordovia,44000,467
"Rostov Arena|Rostov"," Rostov-on-Don",6,rostov,45000,467
"Kaliningrad Stadium|Kaliningrad|Arena Baltika"," Kaliningrad",7,kaliningrad,35000,467
"Kazan Arena|Kazan"," Kazan",8,kazan,45000,467
" Fisht Stadium|Fisht|Fisht Olympic Stadium"," Sochi",9,fisht,45000,467
"  Saint Petersburg Stadium|Saint Petersburg|Krestovsky Stadium|Zenit Arena"," Saint Petersburg",10,saintpetersburg,67000,467
"Spartak Stadium|Spartak|Otkritie Arena|Otkrytiye Arena"," Moscow",11,spartak,45000,467
"Luzhniki Stadium|Luzhniki"," Moscow",12,luzhniki,80000,467
