end_at,competitionId,start_at,title,id
" 2018-06-14",467," 2018-06-14"," Matchday 1",1
" 2018-06-15",467," 2018-06-15"," Matchday 2",2
" 2018-06-16",467," 2018-06-16"," Matchday 3",3
" 2018-06-17",467," 2018-06-17"," Matchday 4",4
" 2018-06-18",467," 2018-06-18"," Matchday 5",5
" 2018-06-19",467," 2018-06-19"," Matchday 6",6
" 2018-06-20",467," 2018-06-20"," Matchday 7",7
" 2018-06-21",467," 2018-06-21"," Matchday 8",8
" 2018-06-22",467," 2018-06-22"," Matchday 9",9
" 2018-06-23",467," 2018-06-23"," Matchday 10",10
" 2018-06-24",467," 2018-06-24"," Matchday 11",11
" 2018-06-25",467," 2018-06-25"," Matchday 12",12
" 2018-06-26",467," 2018-06-26"," Matchday 13",13
" 2018-06-27",467," 2018-06-27"," Matchday 14",14
" 2018-06-28",467," 2018-06-28"," Matchday 15",15
" 2018-07-03",467," 2018-06-30"," Round of 16",16
" 2018-07-07",467," 2018-07-06"," Quarter-finals",17
" 2018-07-11",467," 2018-07-10"," Semi-finals",18
" 2018-07-14",467," 2018-07-14"," Match for third place",19
" 2018-07-15",467," 2018-07-15"," Final",20
