points,crestURI,rank,goals,group,team,goalsAgainst,playedGames,teamId,goalDifference,path
6,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg,1,5,H,Colombia,2,3,818,3,flags/Flag_of_Colombia.svg
4,https://upload.wikimedia.org/wikipedia/commons/f/fd/Flag_of_Senegal.svg,2,4,H,Senegal,4,3,804,0,flags/Flag_of_Senegal.svg
4,https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Japan.svg,2,4,H,Japan,4,3,766,0,flags/Flag_of_Japan.svg
3,https://upload.wikimedia.org/wikipedia/commons/1/12/Flag_of_Poland.svg,4,2,H,Poland,5,3,794,-3,flags/Flag_of_Poland.svg
9,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,1,9,G,Belgium,2,3,805,7,flags/Flag_of_Belgium_%28civil%29.svg
6,https://upload.wikimedia.org/wikipedia/commons/b/be/Flag_of_England.svg,2,8,G,England,3,3,770,5,flags/Flag_of_England.svg
3,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Tunisia.svg,3,5,G,Tunisia,8,3,802,-3,flags/Flag_of_Tunisia.svg
0,https://upload.wikimedia.org/wikipedia/commons/a/ab/Flag_of_Panama.svg,4,2,G,Panama,11,3,1836,-9,flags/Flag_of_Panama.svg
7,https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Brazil.svg,1,5,E,Brazil,1,3,764,4,flags/Flag_of_Brazil.svg
5,https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,2,5,E,Switzerland,4,3,788,1,flags/Flag_of_Switzerland_%28Pantone%29.svg
3,https://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Serbia.svg,3,2,E,Serbia,4,3,780,-2,flags/Flag_of_Serbia.svg
1,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Costa_Rica_%28state%29.svg,4,2,E,Costa Rica,5,3,793,-3,flags/Flag_of_Costa_Rica_%28state%29.svg
5,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg,1,6,B,Spain,5,3,760,1,flags/Flag_of_Spain.svg
5,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg,2,5,B,Portugal,4,3,765,1,flags/Flag_of_Portugal.svg
4,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg,3,2,B,Iran,2,3,840,0,flags/Flag_of_Iran.svg
1,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg,4,2,B,Morocco,4,3,815,-2,flags/Flag_of_Morocco.svg
6,https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Sweden.svg,1,5,F,Sweden,2,3,792,3,flags/Flag_of_Sweden.svg
6,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg,2,3,F,Mexico,4,3,769,-1,flags/Flag_of_Mexico.svg
3,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg,3,3,F,Korea Republic,3,3,772,0,flags/Flag_of_South_Korea.svg
3,https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg,4,2,F,Germany,4,3,759,-2,flags/Flag_of_Germany.svg
9,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg,1,7,D,Croatia,1,3,799,6,flags/Flag_of_Croatia.svg
4,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,2,3,D,Argentina,5,3,762,-2,flags/Flag_of_Argentina.svg
3,https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Nigeria.svg,3,3,D,Nigeria,4,3,776,-1,flags/Flag_of_Nigeria.svg
1,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg,4,2,D,Iceland,5,3,1066,-3,flags/Flag_of_Iceland.svg
7,https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg,1,3,C,France,1,3,773,2,flags/Flag_of_France.svg
5,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,2,2,C,Denmark,1,3,782,1,flags/Flag_of_Denmark.svg
3,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Peru.svg,3,2,C,Peru,2,3,832,0,flags/Flag_of_Peru.svg
1,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,4,2,C,Australia,5,3,779,-3,flags/Flag_of_Australia.svg
9,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,1,5,A,Uruguay,0,3,758,5,flags/Flag_of_Uruguay.svg
6,https://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Russia.svg,2,8,A,Russia,4,3,808,4,flags/Flag_of_Russia.svg
3,https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Saudi_Arabia.svg,3,2,A,Saudi Arabia,7,3,801,-5,flags/Flag_of_Saudi_Arabia.svg
0,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg,4,2,A,Egypt,6,3,825,-4,flags/Flag_of_Egypt.svg
